userName,content,score,reviewCreatedVersion,at,Sentimen (Aurel),Sentimen (Ade),Sentimen (Eky),Sentimen Akhir,translated_content
mbub wolez,"Saya seharian daftar buat besok ga bisa, malah keluar sendiri, trus login lg masih tetep sama, tulisannya begini ""transaksi blm dpt d proses tunggu beberapa saat lg"", trus aj begitu berulang ulang. Tolong d perbaiki bukan'y membantu mempermudah malah bikin kesel, klo udah d perbaiki bintang otomatis mengikuti. Thanks",1,4.3.0,2023-01-09 13:41:56,-1.0,-1.0,-1.0,Negatif,"Saya seharian daftar buat besok ga bisa, malah keluar sendiri, trus login lg masih tetep sama, tulisannya begini ""transaksi blm dpt d proses tunggu beberapa saat lg"", trus aj begitu berulang ulang. Tolong d perbaiki bukan'y membantu mempermudah malah bikin kesel, klo udah d perbaiki bintang otomatis mengikuti. Thanks"
Aprilia Via,"Aplikasi ini sangat sulit di gunakan,saya kesulitan dan tidak bisa mengubah data pribadi saya sendiri, harusnya ketika saya daftar setelah itu juga data pribadi saya sudah tercantum, tetapi ini malah nama dan data orang lain yang ada di aplikasi, terlalu berbelit-belit..",1,4.3.0,2023-01-24 03:29:56,-1.0,-1.0,-1.0,Negatif,"Aplikasi ini sangat sulit di gunakan,saya kesulitan dan tidak bisa mengubah data pribadi saya sendiri, harusnya ketika saya daftar setelah itu juga data pribadi saya sudah tercantum, tetapi ini malah nama dan data orang lain yang ada di aplikasi, terlalu berbelit-belit.."
Alip Hartono,"Saya mau merubah faskes, tp menu perubahan data tidak bisa dibuka, diminta menyetujui persyaratan jkn sblm buka aplikasi, padahal sudah dicentang dan disetujui, sebelumnya buka di hp istri logout dr akun jkn istri, kok malah ga bisa buka menu perubahan JKN di hp saya, ribet. Tolong apk jkn diperbaharui lg lb baik dan taktis, terima kasih",4,4.3.0,2023-01-20 09:05:47,-1.0,-1.0,-1.0,Negatif,"Saya mau merubah faskes, tp menu perubahan data tidak bisa dibuka, diminta menyetujui persyaratan jkn sblm buka aplikasi, padahal sudah dicentang dan disetujui, sebelumnya buka di hp istri logout dr akun jkn istri, kok malah ga bisa buka menu perubahan JKN di hp saya, ribet. Tolong apk jkn diperbaharui lg lb baik dan taktis, terima kasih"
Jamila Mila,Semenjak di updet bukan makin bagus malah bikin susah....Saya mau buka app malah disuruh masukin pin...Mau buat pin sendiri katanya pin secara otomatis masuk melalui SMS....Saya tunggu² gak ada SMS verivikasi yang masuk....Bagaimana saya bisa menggunakan aplikasinya Klo pin nya gak bisa masuk....,1,4.3.0,2023-01-15 01:54:53,-1.0,-1.0,-1.0,Negatif,Semenjak di updet bukan makin bagus malah bikin susah....Saya mau buka app malah disuruh masukin pin...Mau buat pin sendiri katanya pin secara otomatis masuk melalui SMS....Saya tunggu² gak ada SMS verivikasi yang masuk....Bagaimana saya bisa menggunakan aplikasinya Klo pin nya gak bisa masuk....
Rizqi Nuranisa,Ini kok fitur pendaftaran online ke faskes lanjutannya ga bisa yaaa? pdhl sebelum aplikasi di upgrade mah masih bisa. Sedangkan rumah sakit menolak pendaftaran karena katanya quota udah abis karena banyak yg daftar online via aplikasi. Masa cm aplikasi di HP saya aja yg ga bisa klik menu itu.,3,4.3.0,2023-01-16 04:45:48,-1.0,-1.0,-1.0,Negatif,Ini kok fitur pendaftaran online ke faskes lanjutannya ga bisa yaaa? pdhl sebelum aplikasi di upgrade mah masih bisa. Sedangkan rumah sakit menolak pendaftaran karena katanya quota udah abis karena banyak yg daftar online via aplikasi. Masa cm aplikasi di HP saya aja yg ga bisa klik menu itu.
Zuyyina Rahmah Fithriyyah,"Ini kenapa ya mau daftar mobile jkn tapi kok setiap daftar ada tulisan (""RESPONSE_CODE"": ""06"",""RESPONS E_DESC"":""Jam Akses Tidak Sesuai"",""RESPONSE"":""Jam Akses Tidak Sesuai""). Bisa tolong kasih solusinya?",1,4.3.0,2023-01-21 13:57:57,-1.0,-1.0,-1.0,Negatif,"Ini kenapa ya mau daftar mobile jkn tapi kok setiap daftar ada tulisan (""RESPONSE_CODE"": ""06"",""RESPONS E_DESC"":""Jam Akses Tidak Sesuai"",""RESPONSE"":""Jam Akses Tidak Sesuai""). Bisa tolong kasih solusinya?"
Dewi Saputri,"Login untuk daftar JKN dari tadi gk bisa terus permintaan tidak dapat diproses, sudah dapat OTP NYA selalu muncul kata2 tersebut .. Tolong perbaiki app nya dong!! Dipercepat sat set sat set , biar gampang login tidak bertele tele ..",1,4.3.0,2023-01-09 23:54:24,-1.0,-1.0,-1.0,Negatif,"Login untuk daftar JKN dari tadi gk bisa terus permintaan tidak dapat diproses, sudah dapat OTP NYA selalu muncul kata2 tersebut .. Tolong perbaiki app nya dong!! Dipercepat sat set sat set , biar gampang login tidak bertele tele .."
Pramisela Abdi,"Nyebelin pas login padahal NIK benar, password benar, captcha benar, tapi gagal terus.. ya iya sih penyelesaiannya bisa dengan klik lupa password dan reset password.. Tapi ya kali masa tiap mau login harus reset password, merepotkan sekali bukan?? Tolonglah kenapa gagal gagal terus pas login?? Bikin emosi,",1,4.3.0,2023-01-01 15:12:00,-1.0,-1.0,-1.0,Negatif,"Nyebelin pas login padahal NIK benar, password benar, captcha benar, tapi gagal terus.. ya iya sih penyelesaiannya bisa dengan klik lupa password dan reset password.. Tapi ya kali masa tiap mau login harus reset password, merepotkan sekali bukan?? Tolonglah kenapa gagal gagal terus pas login?? Bikin emosi,"
sinichi kudo,Sering tidak sinkron sama rs rujukan. Mending seperti dulu untuk faskes 2 daftarnya tetap pake aplikasi yang dari rs saja tidak usah pake jkn. Tp sekarang mau pake aplikasi dari rs rujukan tidak bisa. Disuruh pake jkn. Pake jkn tidak sinkron. Ujung2nya malah jadi antri manual. Aplikasi ini tidak mempermudah malah jadi semakin ribet. Tolong skill dari progamernya ditingkatkan dong.,1,4.3.0,2023-01-26 03:19:25,-1.0,-1.0,-1.0,Negatif,Sering tidak sinkron sama rs rujukan. Mending seperti dulu untuk faskes 2 daftarnya tetap pake aplikasi yang dari rs saja tidak usah pake jkn. Tp sekarang mau pake aplikasi dari rs rujukan tidak bisa. Disuruh pake jkn. Pake jkn tidak sinkron. Ujung2nya malah jadi antri manual. Aplikasi ini tidak mempermudah malah jadi semakin ribet. Tolong skill dari progamernya ditingkatkan dong.
DhytraDhi Pesiwarissa,"Sungguh tidak membantu!! Pulsa ada, Wifi Stabil, semuanya oke.. tapi kenapa saat mau daftar autodebit malah itu kode verifikasinya gak masuk-masuk, tolong diperbaiki!!!! Klo memang tidak sanggup mending gak ush bikin autodebit biar gak perlu ngirim kode verifikasi",1,4.3.0,2023-01-16 00:28:41,-1.0,-1.0,-1.0,Negatif,"Sungguh tidak membantu!! Pulsa ada, Wifi Stabil, semuanya oke.. tapi kenapa saat mau daftar autodebit malah itu kode verifikasinya gak masuk-masuk, tolong diperbaiki!!!! Klo memang tidak sanggup mending gak ush bikin autodebit biar gak perlu ngirim kode verifikasi"
Abdullah Binsarpan Surawi,"Saya kasih bintang 1 dulu ya, karena telp 165 Susah, kontak email ga ada, pendaftaran penambahan peserta anak yg ke 4 ga bisa di aplikasi, pada hal sesuai note di telp 165 demi keamanan bersama kurang kontak fisik. Kalau sistem/aplikasi ga bisa ya otomatis secara tidak langsung kita di suruh ke Loket.",1,4.3.0,2023-01-27 03:40:50,-1.0,-1.0,-1.0,Negatif,"Saya kasih bintang 1 dulu ya, karena telp 165 Susah, kontak email ga ada, pendaftaran penambahan peserta anak yg ke 4 ga bisa di aplikasi, pada hal sesuai note di telp 165 demi keamanan bersama kurang kontak fisik. Kalau sistem/aplikasi ga bisa ya otomatis secara tidak langsung kita di suruh ke Loket."
Lia A,App ribet banget sumpah..udah diperbarui mau masuk aja susah ditambah lg harus ubah pin..pin yg manaa setiap kali klik selalu muncul itu terus ga bisa di akses..tolong lah dipermudah aja,1,4.3.0,2023-01-14 02:24:51,-1.0,-1.0,-1.0,Negatif,App ribet banget sumpah..udah diperbarui mau masuk aja susah ditambah lg harus ubah pin..pin yg manaa setiap kali klik selalu muncul itu terus ga bisa di akses..tolong lah dipermudah aja
Tata Suparta,"Sangat tidak berguna setelah di perbaharui,, nungu SMS untuk verifikasi no pin lebih dari 7 jam ga ada SMS,, tolong lah jangan persulit kami sebagai pengguna/peserta jkn,, mohon di perbaiki,, biarkan bintang yg berbicara,, ""KECEWA!!",1,4.3.0,2023-01-14 14:20:49,-1.0,-1.0,-1.0,Negatif,"Sangat tidak berguna setelah di perbaharui,, nungu SMS untuk verifikasi no pin lebih dari 7 jam ga ada SMS,, tolong lah jangan persulit kami sebagai pengguna/peserta jkn,, mohon di perbaiki,, biarkan bintang yg berbicara,, ""KECEWA!!"
Yurid Gandi,"Knp langsung di arahkan ke auto debet waktu log in, dan opsi pilihan batal & setuju sj. Jd tdk bisa akses fitur aplikasi yg lain, mhon perbaiki. Mohon tmbah Opsi untk ""lewati "" biar bisa akses fitur aplikasi",1,4.3.0,2023-01-07 05:49:39,-1.0,-1.0,-1.0,Negatif,"Knp langsung di arahkan ke auto debet waktu log in, dan opsi pilihan batal & setuju sj. Jd tdk bisa akses fitur aplikasi yg lain, mhon perbaiki. Mohon tmbah Opsi untk ""lewati "" biar bisa akses fitur aplikasi"
Herlan Yuswanul,"Tolong ini gimana caranya mau ganti email, di menu profil gada pilihannya. Cara gantinya gimana??? Udh gt gada contact support nya. Cacat banget. Trs mau minta tolong gimana ini??? Udah coba ngecek FAQ nya ga bisa kebuka sama sekali. Abu abu doang tampilannya",2,4.3.0,2023-01-27 01:09:00,-1.0,-1.0,-1.0,Negatif,"Tolong ini gimana caranya mau ganti email, di menu profil gada pilihannya. Cara gantinya gimana??? Udh gt gada contact support nya. Cacat banget. Trs mau minta tolong gimana ini??? Udah coba ngecek FAQ nya ga bisa kebuka sama sekali. Abu abu doang tampilannya"
vina meida,"Saya kira setelah d update akaj lebih baik, ternyata sama saja bikin mumet. Mau rubah no hp saja gagal terus, udah capek isi data pas masukin nomor baru keyboard nggak nongol terus. Akun status belum terverifikasi aja. Buruk",1,4.3.0,2023-01-25 04:27:44,-1.0,-1.0,-1.0,Negatif,"Saya kira setelah d update akaj lebih baik, ternyata sama saja bikin mumet. Mau rubah no hp saja gagal terus, udah capek isi data pas masukin nomor baru keyboard nggak nongol terus. Akun status belum terverifikasi aja. Buruk"
Maulvi Hazna Talitha,Min di bagian info riwayat pelayanan tolong dimunculin lagi nama polinya. Setelah update ini cuma ada nama RS aja. Soalnya info itu berguna buat aku yg harus kontrol ke beberapa poli. Jadi bisa tracking kapan terakhir periksa ke poli tertentu.,4,4.3.0,2023-01-24 23:47:40,0.0,-1.0,0.0,Netral,Min di bagian info riwayat pelayanan tolong dimunculin lagi nama polinya. Setelah update ini cuma ada nama RS aja. Soalnya info itu berguna buat aku yg harus kontrol ke beberapa poli. Jadi bisa tracking kapan terakhir periksa ke poli tertentu.
nopi riawan,Minta update terus... Tiba di update malahan nggak bisa masuk...make minta pin segala...tapi pin nya nggak pernah muncul via SMS... Mentang-mentang plat merah kerja secara amatir nggak apa-apa...siapa yg berani menggugat 👿👿👿,1,4.3.0,2023-01-21 05:26:45,-1.0,-1.0,-1.0,Negatif,Minta update terus... Tiba di update malahan nggak bisa masuk...make minta pin segala...tapi pin nya nggak pernah muncul via SMS... Mentang-mentang plat merah kerja secara amatir nggak apa-apa...siapa yg berani menggugat 👿👿👿
Fajar Rizqi,"Yang kasih bintang 1 kayanya orang2 yang baru keluar dari gua. Aplikasi gampang, login juga cepet, mau pindah faskes cepet, malah dibilang jelek. Ada yg bilang susah login, hadeehh.. bikin password sama email yang gampang aja tong. Ga usah aneh2..",5,4.3.0,2023-01-04 01:50:00,1.0,-1.0,1.0,Positif,"Yang kasih bintang 1 kayanya orang2 yang baru keluar dari gua. Aplikasi gampang, login juga cepet, mau pindah faskes cepet, malah dibilang jelek. Ada yg bilang susah login, hadeehh.. bikin password sama email yang gampang aja tong. Ga usah aneh2.."
ahmad suditno,"Aplikasi yg baru ini sangat jelek sekali dari pada aplikasi yg sebelumnya, karena aplikasi yg terbaru sulit untuk masuk dan daftarkan pin....mohon untuk admin tingkatkan produk terbaik nya dan mudahkan cara login nya",1,4.3.0,2023-01-05 15:22:43,-1.0,-1.0,-1.0,Negatif,"Aplikasi yg baru ini sangat jelek sekali dari pada aplikasi yg sebelumnya, karena aplikasi yg terbaru sulit untuk masuk dan daftarkan pin....mohon untuk admin tingkatkan produk terbaik nya dan mudahkan cara login nya"
Ramlan Painem,"Awal buka aplikasi ini disuruh login dan membuat auto debit, tapi pilihan bank nya kok gak lengkap, pilihan untuk Bank Nasional Indonesia tidak ada, sementara saya mendaftar di kantor BPJS kesehatan dan di arahkan untuk membuka tabungan di BNI, TOLONG DI LENGKAPI PILIHAN UNTUK BANK BNI NYA DOOOONG",2,4.3.0,2023-01-09 04:59:30,-1.0,-1.0,-1.0,Negatif,"Awal buka aplikasi ini disuruh login dan membuat auto debit, tapi pilihan bank nya kok gak lengkap, pilihan untuk Bank Nasional Indonesia tidak ada, sementara saya mendaftar di kantor BPJS kesehatan dan di arahkan untuk membuka tabungan di BNI, TOLONG DI LENGKAPI PILIHAN UNTUK BANK BNI NYA DOOOONG"
Victor Custom,"Usaha gulung tikar pandemi makin susah cari duit, tidak ada penghasilan tetap cuma cukup untuk makan dan keperluan rumah, tapi TAGIHAN JALAN TERUS TIAP BULAN.. tidak bisa di cicil/stop ,harus bayar lunas. Kartu tidak bisa di pakai untuk berobat, system seperti rentenir berkedok jaminan kesehatan. Sudah gak mampu bayar tunggakan masih aja jalan terus tagihan.",1,4.3.0,2023-01-08 17:51:01,-1.0,-1.0,-1.0,Negatif,"Usaha gulung tikar pandemi makin susah cari duit, tidak ada penghasilan tetap cuma cukup untuk makan dan keperluan rumah, tapi TAGIHAN JALAN TERUS TIAP BULAN.. tidak bisa di cicil/stop ,harus bayar lunas. Kartu tidak bisa di pakai untuk berobat, system seperti rentenir berkedok jaminan kesehatan. Sudah gak mampu bayar tunggakan masih aja jalan terus tagihan."
Hermawan Yr,"Aplikasinya sangat membantu sekali tetapi masih ada beberapa hal yang perlu diperbaiki, saya mendaftar melalui aplikasi JKN mobile ternyata dokter berhalangan hadir karena sakit, oleh pihak faskes diminta membatalkan melalui aplikasi JKN mobile. ketika saya klik batalkan terdapat keterangan ""tidak dapat terhubung ke server rumah sakit"" hari berikutnya saya coba lagi keterangannya ""pembatalan tidak berlaku mundur"". s.d sekarang statusnya masih menggantung di aplikasi JKN mobile",1,4.3.0,2023-01-26 06:34:40,0.0,1.0,1.0,Positif,"Aplikasinya sangat membantu sekali tetapi masih ada beberapa hal yang perlu diperbaiki, saya mendaftar melalui aplikasi JKN mobile ternyata dokter berhalangan hadir karena sakit, oleh pihak faskes diminta membatalkan melalui aplikasi JKN mobile. ketika saya klik batalkan terdapat keterangan ""tidak dapat terhubung ke server rumah sakit"" hari berikutnya saya coba lagi keterangannya ""pembatalan tidak berlaku mundur"". s.d sekarang statusnya masih menggantung di aplikasi JKN mobile"
GiLang Lp,"Saya sudah biasa menggunakan utk keperluan terkain bpjs kesehata, terutama untuk booking no antrean, tapi kenapa bulan sekarang sya ga bisa booking muncul keterangan ""user ini sudah tidak dapat di gunakan"" padahal ga pernah saya utak atik dari terahir di gunakan, bahkan iuran sudah terbayar....tong segera di perbaiki",1,4.3.0,2023-01-04 22:46:29,-1.0,-1.0,-1.0,Negatif,"Saya sudah biasa menggunakan utk keperluan terkain bpjs kesehata, terutama untuk booking no antrean, tapi kenapa bulan sekarang sya ga bisa booking muncul keterangan ""user ini sudah tidak dapat di gunakan"" padahal ga pernah saya utak atik dari terahir di gunakan, bahkan iuran sudah terbayar....tong segera di perbaiki"
sri sungkawaningati,"Hanya untuk login saja susah sekali, selalu muncul notif daftar autodebet, saya sudah isi kolom autodebet bank tapi muncul notif nomor hp tidak dikenal, di pencet back pun tidak respon, bikin aplikasi kok menyusahkan,",1,4.3.0,2023-01-08 04:45:08,-1.0,-1.0,-1.0,Negatif,"Hanya untuk login saja susah sekali, selalu muncul notif daftar autodebet, saya sudah isi kolom autodebet bank tapi muncul notif nomor hp tidak dikenal, di pencet back pun tidak respon, bikin aplikasi kok menyusahkan,"
rosalina kenaya,"Download JKN sudah berhasil pada saat mau daftar dan di verifikasi data minta masukkan no HP, sudah memasukkan no HP tapi notif "" No yang Anda masukkan sudah pernah di gunakan peserta lain "" Mencoba menggunakan email juga notifnya sama, email sudah di gunakan peserta lain. Kalau memang betul verifikasi via no HP berarti kalau pernah download dan di hapus aplikasinya berarti tidak bisa di gunakan lagi ?? Bagaimana solusinya Min, fitur banyak dan bagus, tapi ribet.mohon solusinya. Terimakasih",1,4.3.0,2023-01-09 08:36:59,-1.0,-1.0,-1.0,Negatif,"Download JKN sudah berhasil pada saat mau daftar dan di verifikasi data minta masukkan no HP, sudah memasukkan no HP tapi notif "" No yang Anda masukkan sudah pernah di gunakan peserta lain "" Mencoba menggunakan email juga notifnya sama, email sudah di gunakan peserta lain. Kalau memang betul verifikasi via no HP berarti kalau pernah download dan di hapus aplikasinya berarti tidak bisa di gunakan lagi ?? Bagaimana solusinya Min, fitur banyak dan bagus, tapi ribet.mohon solusinya. Terimakasih"
Nesza Aulia,"Kenapa setelah diupdate aplikasinya tidak bisa digunakan ? Mau ngambil nomer antrian aja susah ""gagal terhubung ke server RS, coba beberapa saat lagi"". Aneh bgt , mohon untuk diperbaiki 🙏",1,4.3.0,2023-01-14 22:07:48,-1.0,-1.0,-1.0,Negatif,"Kenapa setelah diupdate aplikasinya tidak bisa digunakan ? Mau ngambil nomer antrian aja susah ""gagal terhubung ke server RS, coba beberapa saat lagi"". Aneh bgt , mohon untuk diperbaiki 🙏"
PRAYOGI SIDIK,Untuk pelayanan bpjs ini sangat baik. Selama saya mengikuti nya belum peenah ada sesuatu yg tidak sesuai.. Apalagi ditambah apk mobile JKN ini. Semakin memudahkan kita untuk menikmati bpjs ini...terima kasih.,5,4.3.0,2023-01-30 01:22:00,1.0,1.0,1.0,Positif,Untuk pelayanan bpjs ini sangat baik. Selama saya mengikuti nya belum peenah ada sesuatu yg tidak sesuai.. Apalagi ditambah apk mobile JKN ini. Semakin memudahkan kita untuk menikmati bpjs ini...terima kasih.
Eko Chandra,Kenapa update aplikasi update jan 2023 tidak ada menu ubah peserta? Mau download kartu peserta jadi tidak bisa karena harus didaftarkan email tiap peserta. Sedangkan untuk menambahkan email tidak bisa krn menunya tidak ada. Mohon diperbaiki lagi aplikasinya,2,4.3.0,2023-01-26 13:02:36,-1.0,-1.0,-1.0,Negatif,Kenapa update aplikasi update jan 2023 tidak ada menu ubah peserta? Mau download kartu peserta jadi tidak bisa karena harus didaftarkan email tiap peserta. Sedangkan untuk menambahkan email tidak bisa krn menunya tidak ada. Mohon diperbaiki lagi aplikasinya
rizki,"Blm apa2 suruh autodebit tp pilihan bank nya terbatas, saya pake BSI dan tdk ada di pilihan, mna ga bisa di skip lg, otomatis berhenti smpe situ dn ga tuntas. klo dtg lngsung bilangnya ""coba di aplikasi lebih mudah"" MANAAA ?",1,4.3.0,2023-01-15 13:36:42,-1.0,-1.0,-1.0,Negatif,"Blm apa2 suruh autodebit tp pilihan bank nya terbatas, saya pake BSI dan tdk ada di pilihan, mna ga bisa di skip lg, otomatis berhenti smpe situ dn ga tuntas. klo dtg lngsung bilangnya ""coba di aplikasi lebih mudah"" MANAAA ?"
Dede Tasrudin,Jelek dn buruk sekali layanan nya. Verifikasi no. Waktunya 299 detik tpi nunggu balasan sms nya 5-10menit. Pas di masukin sudah kadaluarsa no. Nya. Hadeuh... Bikin darah tinggi. Ini Aplikasi paling Konyol yg udh di download.,1,4.3.0,2023-01-09 08:29:32,-1.0,-1.0,-1.0,Negatif,Jelek dn buruk sekali layanan nya. Verifikasi no. Waktunya 299 detik tpi nunggu balasan sms nya 5-10menit. Pas di masukin sudah kadaluarsa no. Nya. Hadeuh... Bikin darah tinggi. Ini Aplikasi paling Konyol yg udh di download.
bayu k paty,"masih nge bug waktu mau nambah anggota keluarga, waktu ngcek NIK, kolom nya sudah terisi dluan tapi setelah di search katanya NIK kosong atau format NIK tidak sesuai.. gmana ini tim terkait nya tolong di cek lah. di tunggu.",2,4.3.0,2023-01-06 02:19:40,-1.0,-1.0,-1.0,Negatif,"masih nge bug waktu mau nambah anggota keluarga, waktu ngcek NIK, kolom nya sudah terisi dluan tapi setelah di search katanya NIK kosong atau format NIK tidak sesuai.. gmana ini tim terkait nya tolong di cek lah. di tunggu."
